shopname,tags,address&tel,average,features
天龙轩,标签:粤菜   中餐 米其林二星,地址:尖沙咀柯士甸道西1号环球贸易广场(ICC)香港丽思卡尔顿酒店102楼   +852-22632270,¥891,特色: 黑豚叉烧   窝贴大虾多士   杨枝甘露
厨魔,标签:更多美食 米其林三星,地址:湾仔庄士敦道60号船街 J-Senses 1楼8号铺   +852-28508371,¥2205,特色: 分子小笼包   佐贺牛排   松露汉堡包
大笪地火锅,标签:火锅,地址:九龙旺角弥敦道613号飞达商业大厦3楼   +852-21552789,¥355,特色: 大笪地花胶浓汤鸡锅   安格斯牛肉   花竹虾
Sushi Tokami,标签:日本料理,地址:海港城海洋中心二阶216A号铺   27713938,¥1389,特色: 金枪鱼大腹   海胆军舰   金枪鱼中腹
Cafe 103,标签:自助餐,地址:尖沙咀柯士甸道西1号环球贸易广场香港丽思卡尔顿酒店103楼   +852-22632270,¥409,特色: 甜点   龙虾   长脚蟹
禾牛荟火煱馆(尖沙咀店) 分店,标签:火锅,地址:尖沙咀金马伦道中国保险大厦1楼   +852-39973369,¥372,特色: 手切新鲜牛肉   现打虾滑   素翅冬瓜鸡汤底
桥底辣蟹(谢斐道店) 分店,标签:海鲜   中餐,地址:湾仔谢斐道414-424地下1-2号   00852-25737698,¥433,特色: 桥底辣蟹   濑尿虾   蒜蓉蛏子王
蟹庆,标签:日本料理,地址:铜锣湾轩尼诗道525号澳门逸园中心地库   +852-26021600,¥1029,特色: 蟹玉蒸蛋   活毛蟹海鲜盛合   燒鱈場蟹腳
唐阁,标签:粤菜   中餐 米其林二星,地址:尖沙咀北京道8号香港朗廷酒店1楼及2楼   +852-21327898,¥923,特色: 三葱爆龙虾   唐阁宝盒饭   焗蟹盖
大一海鲜火锅料理,标签:火锅,地址:香港九龙尖沙咀宝勒巷3-7A号万事昌广场2楼1室   +852-28896986,¥542,特色: 黑松露带子饺   手工切本地牛肉   金汤腿翅锅
喜记避风塘炒辣蟹(湾仔总店),标签:中餐,地址:湾仔谢斐道379号1-4号铺地下   +852-28937565,¥304,特色: 避风塘炒蟹   招牌炒蚬   干炒牛河
御宝轩,标签:粤菜   中餐,地址:北京道1号10层   26139800,¥856,特色: 流沙包   御寶濃湯大排翅   鮑汁燜鳳爪
Aqua,标签:西餐   日本料理,地址:尖沙咀北京道1号29楼   +852-34272288,¥1116,特色: 松露意面   燒Tuna腩卷   薄烧和牛
镛记酒家,标签:中餐   粤菜,地址:中环威灵顿街32-40号   +852-25221624,¥344,特色: 烧鹅   酸姜皮蛋   叉烧
喜记蟹将军,标签:中餐   海鲜,地址:尖沙咀弥敦道63号国际广场6楼602室铺到国际广场6楼   +852-23667565,¥374,特色: 喜记正宗炒辣蟹   椒盐濑尿虾   清酒煮鲍鱼
不倒翁中日火锅料理(国际广场店) 分店,标签:火锅,地址:尖沙咀弥敦道63号ISQUARE国际广场23楼   +852-21521166,¥726,特色: 雪花牛肉   手切牛肉   生猛大花竹虾
一番風味,标签:粤菜   中餐,地址:香港特別行政區灣仔區湾仔道138号   +852-37021371,¥234,特色: 招牌黄金蟹粥   脆皮牛腩   避风塘炒虾
阿一海景饭店,标签:粤菜   中餐 米其林一星,地址:九龙尖沙咀弥敦道63号国际广场29楼2902号铺   +852-23280983,¥1208,特色: 鲍鱼   招牌海鲜炒饭   红酒酱炆牛尾
阿甘虾餐厅(凌霄阁店),标签:西餐,地址:山顶道128号凌霄阁3楼304-305号铺   +852-28492867,¥224,特色: 阿甘虾儿童餐   猪仔骨   芝士海鲜饭
Burgeroom(铜锣湾店),标签:小吃快餐   汉堡,"地址:Causeway Bay Paterson Street, No. 50-56   +852-28909130",¥151,特色: 双层鹅肝牛肉汉堡   旋风芝士薯条   大烤菇芝士牛肉堡
翠林辣蟹舫,标签:粤菜   海鲜,地址:尖沙咀亚士厘道24-38号天星大厦1楼A座   +852-26289888,¥426,特色: 避风塘炒蟹   黄金虾球   南非鲜鲍鱼
大红袍火锅料理(尖沙咀店),标签:火锅,地址:尖沙咀金巴利道64-66A号顺辉大厦地下   +852-24684333,¥374,特色: 金屋藏娇   极上牛肉刺身   芝士墨鱼丸
太湖海鲜城(铜锣湾店) 分店,标签:海鲜,地址:铜锣湾骆克道463-483号铜锣湾广场二期9楼   +852-28930822,¥429,特色: 姜米活鱼炒饭   金汤焗龙虾   濑尿虾
2DP 茶•甜品,标签:冰淇淋   甜品,地址:九龙尖沙咀厚福街12-12A蓝马商业大厦地铺   +852-37059590,¥92,特色: 铁观音雪糕   半熟芝士焦糖炖蛋及云尼拿雪糕   2DP素牛大啡菇漢堡
茶记冰室,标签:茶餐厅   粤菜,地址:葵涌石荫路60号金石楼地下2号铺   +852-22534168,¥67,特色: 燒薯牛柳粒   黃金蝦   千岛伴鬼马
桥底辣蟹(骆克道三店) 分店,标签:海鲜,地址:鹅颈骆克道421-425号雅阁苑   +852-28931289,¥401,特色: 炒蟹   避风塘炒赖尿虾   炒蚬
龍麵館,标签:中餐,地址:德輔道中68號萬宜大廈地鋪04   +852-25616688,¥253,特色: 龙虾酥两件   龙虾面   龙肉汤面
天虹海鲜酒家(索罟湾店),标签:海鲜   中餐,地址:南丫岛索罟湾第一街，1，23-25号   +852-29828100,¥378,特色: 赖尿虾   焗烤龙虾   东星斑
新南苑私房菜火锅鸡煲(旺角店),标签:火锅,地址:旺角彌敦道678号華僑商業中心3樓全層   +852-28773690,¥275,特色: 雞煲   海鲜火锅   生猛海鲜拼盘
酒锅,标签:火锅,地址:铜锣湾登龙街18号V Point 27楼   +852-23237098,¥556,特色: 掛架頂級安格斯牛頸脊   走火入鍋   黑松露蝦蟹餃
渔获浜烧,标签:日本料理,地址:铜锣湾轩尼诗道525号澳门逸园中心18楼   25755677,¥420,特色: 活貝漁獲浜燒盛合   味噌蟹甲罗烧配多士   香煎蒜片厚切牛舌
龙皇酒家(世贸中心店) 分店,标签:粤菜   中餐,地址:铜锣湾告士打道280号世贸中心12楼   28952288,¥371,特色: 乳猪   杏仁蛋白茶   杨枝甘露
阿一海景饭店(铜锣湾店),标签:粤菜   中餐,地址:铜锣湾谢斐道535号25楼   +852-91006111,¥1194,特色: 一哥鲍鱼酥   红酒酱炆牛尾   招牌砂锅炒饭
富記海鮮酒家,标签:粤菜   海鲜,地址:索罟灣第一街9-10號地下   +852-29828516,¥310,特色: 椒鹽瀨尿蝦   避風塘炒蟹   芝士紫薯焗扇贝
甜姨姨私房甜品,标签:面包甜点,地址:天后清风街13号地下   +852-25086962,¥45,特色: 榴莲豆腐花   芒果大合奏   即撞木桶豆腐花
全记海鲜菜馆(海傍街店) 分店,标签:中餐   海鲜,地址:西贡海傍街53号地下   +852-27911195,¥488,特色: 椒盐濑尿虾   芝士龙虾   蛏子王
沙嗲王(山东街店) 分店,标签:东南亚菜,地址:九龙旺角山东街48号泰丰大厦1-3楼   +852-27701711,¥81,特色: 白咖喱香茅猪扒饭   沙嗲牛肉粉絲   炒蟹
ÉPURE,标签:法国菜   西餐,地址:尖沙咀广东道5号海港城海洋中心4楼403号铺   31858330,¥570,特色: 甜品   软餐包   银鳕鱼
Amber Coffee Brewery,标签:咖啡厅,地址:德輔道中140-142號富偉大廈G/F   +852-31060872,¥64,特色: 手冲   Amber特饮   拿铁
好时沙嗲,标签:东南亚菜,地址:尖沙咀么地道63号好时中心148号铺电梯上一层   27399808,¥81,特色: 海南雞飯   叻沙   星洲萝卜糕
御满屋日本料理,标签:日本料理   自助餐,地址:旺角弥敦道655号胡社生行   +852-36223338,¥188,特色: 三文鱼刺身   牛舌   哈根达斯比利时朱古力味
海皇粥店(尖沙咀店),标签:小吃快餐,地址:尖沙咀乐道23号A   +852-26972801,¥61,特色: 海皇一品粥   油条   鲜虾肠粉
