shopname,tags,address&tel,average,features
酒锅(尖沙咀店),标签:火锅,地址:尖沙咀天文台道8号2楼1号铺   +852-23219038,¥482,特色: 本地手切肥牛   掛架頂級安格斯牛頸脊   黑松露虾蟹饺
磯野水產,标签:日本料理,地址:銅鑼灣軒尼詩道525號澳門逸園中心19樓   +852-27663678,¥846,特色: 鲍鱼滨烧   吞拿鱼脑天额浜烧   龙虾滨烧
響日本燒肉,标签:日本料理,地址:佐敦白加仕街101號珀軒1樓   +852-28865528,¥361,特色: 澳洲和牛盛合   海鲜拼盘   牛舌
不倒翁中日火锅料理(铜锣湾店) 分店,标签:火锅,地址:铜锣湾勿地臣街1号时代广场食通天11楼1101号   31029363,¥489,特色: 雪花肥牛   手切牛肉（大份）   大虾水饺
Mad for Garlic,标签:西餐,地址:铜锣湾勿地臣街1号时代广场食通天11楼1104号   +852-37522880,¥241,特色: 大蒜pizza   蒜头山牛扒   蒜香蟹肉龍蝦意粉
饮茶(尖沙咀店),标签:粤菜   中餐,地址:尖沙咀加连威老道20-22号瑞生尖沙咀酒店3楼   +852-27511666,¥147,特色: 睇住流奶   口水鸡   多彩虾饺
永年士多(尖沙咀店),标签:小吃快餐,地址:尖沙咀加拿芬道46号地下7-8号   +852-24770110,¥46,特色: 车仔面三款配料加面   猪肠   猪红
大冒险家餐厅,标签:东南亚菜,地址:香港大屿山香港迪士尼乐园迷离庄园   35503388,¥122,特色: 印尼炒饭   人参鸡套餐   海南鸡饭套餐
桥底辣蟹(骆克道二店) 分店,标签:海鲜   中餐,地址:铜锣湾骆克道429号地下6-9号铺   +852-25737698,¥452,特色: 桥底辣蟹   椒盐濑尿虾   避风塘炒蟹
糖朝(尖沙咀店),标签:茶餐厅   粤菜,地址:尖沙咀汉口道28号亚太中心地库A号铺   +852-21997799,¥126,特色: 糖朝一品粥   虾饺   豆腐花
唐人馆(海港城店) 分店,标签:中餐,地址:尖沙咀海港城港威商场4楼4104号铺   +852-21573148,¥587,特色: 杨枝甘露   陈年花雕话梅虾   杏汁猪肺汤
新南苑私房菜火锅鸡煲(湾仔店),标签:火锅,地址:湾仔卢押道18号海德中心2楼   +852-28778008,¥249,特色: 生猛海鲜拼盘   招牌鬼马鸡煲   南瓜蓉造型百变冰公仔
豊勝手丼,标签:日本料理,地址:铜锣湾谢斐道468号百达中心地下D铺   +852-55465046,¥241,特色: 三國雲丹丼套餐   角切丼   北海蟹丼
皇室宴会厅,标签:西餐   中餐,地址:香港大屿山香港迪士尼乐园幻想世界   +852-35502935,¥123,特色: 皇室杂扒套   皇室牛排   皇室焗猪扒
Burgeroom(尖沙咀店),标签:小吃快餐,地址:尖沙咀弥敦道132号美丽华广场一期2楼207号铺   +852-37020361,¥153,特色: 鹅肝牛肉汉堡   牛油果酱芝士薯条   大蘑菇芝士牛肉汉堡
香港海賊王餐廳,标签:西餐,地址:九龍紅磡黃埔新天地第5及6期AEON STYLE黃埔地面G01號鋪   +852-23637733,¥188,特色: 草帽日式咖喱饭   喬巴強化可樂餅   草帽小子蛋糕
不倒翁中日火锅料理 分店,标签:火锅,地址:佐敦道23-29号新宝广场2楼   35260918,¥429,特色: 雪花牛   象拔蚌   響鈴
大红袍火锅料理(太子店),标签:火锅,地址:太子弥敦道777-781号安宝楼2楼   +852-27022922,¥428,特色: 大红袍牛王拼盘   炸鱼皮   极上牛肉刺身
喜记避风塘炒辣蟹(銅鑼灣店),标签:海鲜,地址:铜锣湾利园山道61—73号地下E铺   +852-24886665,¥414,特色: 喜记正宗炒辣蟹   蒜蓉粉丝蒸扇贝   椒盐濑尿虾
满屋日本料理(铜锣湾广场店),标签:日本料理,地址:铜锣湾骆克道463-483号铜锣湾广场2期8楼全层   +852-36223366,¥204,特色: 三文鱼刺身   甜虾刺身   烤牛舌
增辉艺厨,标签:粤菜   中餐,地址:深水埗石硖尾街38号铺   +852-27788103,¥287,特色: 鬼马油条   胡椒花甲猪肚汤   花枝皮蛋
沙嗲王(现时点店),标签:东南亚菜,地址:九龙弥敦道530-538号现时点2/F美食广场   +852-31889161,¥85,特色: 白咖喱香茅猪扒饭   避风塘软壳蟹   沙爹肥牛拉面
Stanley Cave,标签:咖啡厅,地址:赤柱市场25号地下   +852-26777007,¥92,特色: 全日英式早餐   白汁雞肉蘑菇意粉   班尼迪克蛋
滾得囍宮廷火鍋小炒,标签:火锅,地址:北角马宝道33号马宝学林1楼116-125号铺   +852-23313838,¥368,特色: 即炸黄金响铃   鹿儿岛日本黑豚肉   康熙花胶鸡汤锅
ROJO Tapas Bar & Restaurant,标签:西班牙菜   西餐,地址:铜锣湾木星街 3号地下B铺   +852-27157777,¥214,特色: 西班牙海鲜饭   BB猪肋骨   蒜片虾辣意大利粉
上品火锅料理(天后店) 分店,标签:火锅   海鲜,地址:天后清风街5-11號地下   +852-23231008,¥235,特色: 雪花牛肉   澳洲龍蝦加拿大象拔蚌   芝士虾丸
BRICK LANE,标签:西餐,地址:金钟添美道1号中信大厦4楼   +852-72886868,¥249,特色: 南瓜汤   Benedict   英式特大全日早餐
駒記海鮮大排檔,标签:粤菜   中餐,地址:銅鑼灣寶靈頓道地下26號B25-26號鋪   61718824,¥219,特色: 濑尿虾   避风塘炒蟹   潮州卤水拼盘
PAPI意大利餐厅(铜锣湾店),标签:西餐,地址:銅鑼灣Fashion Walk京士頓街 9 號 地下及一樓 K 舖   +852-28080820,¥175,特色: 香草法國蝸牛配白菌   黑松露藍芝士薄餅   香煎蟹餅配紅椒蜜糖
御前大江户日式料理,标签:日本料理   自助餐,地址:观塘观塘道414号1亚太中心8楼   +852-27555328,¥244,特色: 豪华矶烧海鲜拼盘   刺身拼盘   味噌蟹盖
周师傅点心,标签:粤菜   中餐,地址:深水埗北河街131号   +852-23623262,¥56,特色: 脆皮马拉糕   咖啡糕   珍宝虾饭
大红袍火锅料理(荃湾店),标签:火锅,地址:荃湾川龙街118号百悦坊16楼   +852-21106994,¥269,特色: 蟹子墨魚滑   芝士丸   花膠雞腳燉原只雞湯
沙嗲王(旺角奶路臣街店),标签:东南亚菜,地址:九龙旺角奶路臣街11号MPM商场6楼   +852-34273415,¥86,特色: 白咖喱香茅猪扒饭   日式蟹粉豆腐锅配饭   沙嗲铁板猪扒饭
青花,标签:东南亚菜,地址:旺角奶路臣街17号 The Forest 1楼107号铺   +852-34682558,¥178,特色: 特色饮品   芒果糯米飯   泰式奶茶奶冻
太湖海鲜城(尖沙咀店) 分店,标签:海鲜,地址:尖沙咀山林道14-16号地下   +852-23685420,¥298,特色: 上汤芝士焗龙虾   活鱼姜米炒饭   燒鵝
旺囍車仔麵,标签:小吃快餐,地址:旺角豉油街15号   +852-35834233,¥50,特色: 猪大肠   猪软骨   十全十美富贵面
BRICK LANE Gallery(尖沙咀店),标签:小吃快餐,地址:尖沙咀棉登径17-23号地下   +852-72886868,¥286,特色: 苏格兰烟鲑鱼班尼廸蛋   烤蝦帶子嫩菠菜沙律   英式特大全日早餐
凤城酒家(红磡店) 分店,标签:粤菜   中餐,地址:紅磡德安街7號黃埔新天地黃埔花園八期黃埔美食坊2樓   +852-23622283,¥116,特色: 凤城水饺   蜜汁叉燒酥   皮蛋瘦肉粥
香港珍宝海鲜舫,标签:海鲜,地址:香港仔深灣碼頭徑   +852-25539111,-,特色: 避风塘炒蟹   炸蟹钳球   扬州炒饭
花园餐厅(亞士厘道店) 分店,标签:牛排,地址:亚士厘道29号九龙中心地铺   +852-27360803,¥119,特色: 牛排   罗宋汤   奶茶
上品火锅料理(宇宙商业大厦店) 分店,标签:火锅   海鲜,地址:铜锣湾告士打道229-230号宇宙商业大厦2/F   +852-26236222,¥424,特色: 海拼盘   牛肉拼盘   象拔蚌刺身
牛氣,标签:自助餐,地址:旺角彌敦道625及639號雅蘭中心二期1樓118號舖   +852-28668876,¥270,特色: 美国和牛   大虾   三文鱼
Spark Bar & Restaurant,标签:西餐,地址:中环兰桂坊云咸街29号LKF29 4楼   +852-35211666,¥446,特色: Tiramisu   松露多士配猪面及芝士   牛肉眼扒伴烤牛骨髓
巢私厨川菜馆,标签:中餐   川菜,地址:香港铜锣湾谢斐道496号金利文广场1楼   +852-28191228,¥147,特色: 秘制酸菜桂鱼   冰镇小龙虾   陈醋肴肉
BRICK LANE(铜锣湾店),标签:西餐,地址:铜锣湾礼顿道111号利园第六期地下G01号铺   +852-72886868,¥270,特色: 红虾扁意粉   苏格兰烟鲑鱼班尼廸蛋   SeasonalBerries鲜莓铁锅班㦸
锅处雪舟,标签:日本料理,地址:铜锣湾开平道一号Cubus 6楼   +852-31883350,¥610,特色: 北海道毛蟹   刺身   深海池鱼
ATUM Restaurant,标签:西餐,地址:尖沙咀河內道18號K11購物藝術館101B號舖   +852-35861959,¥242,特色: 咸蛋黄冰淇淋   八爪魚意大利飯   下午茶套餐
Hang O Pho 宿宿醉,标签:东南亚菜   小吃快餐,地址:中环阁麟街37号祥兴商业大厦6楼   +852-34273718,¥156,特色: 法式火車頭金邊粉   香茅牛油蒜香鸡翼   芒果軟殼蟹米紙卷
禾牛荟火煱馆(九龙城店) 分店,标签:火锅,地址:九龙城南角道36号地下   +852-23839863,¥195,特色: 带子云吞   金钱腱   刺身拼盘
花园餐厅(佐敦店),标签:牛排,地址:佐敦彌敦道219號庄氏伦敦广场1F   +852-27703818,-,特色: 有机蘑菇奶油汤   澳洲草饲嫩肩肉扒   慢煮牛小排配凤尾虾
EasyChef W+ Cooking Studio,标签:牛排   西餐,地址:中环德辅道中112号顺安商业大厦15楼   +852-28152215,¥249,特色: mojito   加拿大带骨肉眼扒   笼点心拼盆
炊公馆(铜锣湾店),标签:更多美食,地址:铜锣湾谢菲道535号25楼   +852-28901200,-,特色: 炙烧豚肉味玉拉面   羽根烧饺子   辣汁唐扬炸鸡
霸吗拉面(铜锣湾店) 分店,标签:日本料理   面条,地址:铜锣湾骆克道487-489号骆克駅地铺   +852-21809172,¥102,特色: 招牌汤/煎饺子   清汤牛腩河   缘份牛坑腩
饺腩店,标签:小吃快餐,地址: 旺角豉油街88号 新宝戏院附近   +852-23666668,¥77,特色: 薏米水   沙煲田雞粥   宫保田鸡
宮保,标签:东南亚菜,地址:銅鑼灣登龍街36-48號登輝大廈EF舖   +852-35654883,¥114,特色: 海胆北海道带子脆包   西班牙海鲜饭   伊比利亚猪面颊夹包
OM Tapas,标签:西班牙菜   西餐,地址:尖沙咀棉登徑1號地舖   +852-72886666,¥322,特色: 鵝油撈麵   鹽焗手撕雞飯   例湯
炯記餐室,标签:茶餐厅   粤菜,地址:荃湾沙咀道209号地铺   +852-37047667,¥58,特色: 瑶柱炒饭   笋尖鲜虾饺   叉烧
广场饭店,标签:小吃快餐,地址:香港大屿山香港迪士尼乐园美国小镇大街   +852-21625010,¥213,特色: 澳洲龙虾   虾饺   濑尿虾
珍宝王国,标签:粤菜   中餐,地址:香港仔黄竹坑深湾码头径   25539111,¥402,特色: 睇住流奶   流沙包   奶黄包
饮茶(旺角),标签:更多美食,地址:九龙旺角亚皆老街朗豪坊4楼   +852-28181099,¥151,特色: 和牛   牛肉   鹅肝
铁板烧雪舟,标签:日本料理,地址:开平道1号Cubus8楼   25760880,¥575,特色: 虾饺皇   状元楼老火汤   状元鸡煲翅
状元楼,标签:粤菜   中餐,地址:尖沙咀弥敦道63号国际广场三楼302   +852-22058333,¥204,特色: 手切安格斯牛   海鮮   金沙牛丸
尚鲜火锅海鲜料理(佐敦店),标签:火锅,地址:吴松街62-64号幸福商业大厦1楼   +852-26776488,¥292,特色: 炸鸡套餐   薯条   双层芝士牛肉汉堡包套餐
火箭餐厅,标签:小吃快餐,地址:香港大屿山香港迪士尼乐园明日世界   +852-35503388,¥97,特色: 四宝车仔面   招牌四宝粉   冰鸳鸯奶茶
囍记车仔面,标签:小吃快餐,地址:佐敦百加士街101號   +852-23882112,¥42,特色: 醉胡炉四格锅   火焰龍蝦海鮮鍋   黄金炸鱼皮
酔胡炉(尖沙咀店),标签:火锅,地址:尖沙咀柯士甸路20號保發商業大廈地舖   +852-26062106,¥428,特色: 尚鲜四色丸尚盛   百花釀油條   特尚手切牛
尚鲜火锅海鲜料理(铜锣湾店),标签:火锅   海鲜,地址:銅鑼灣耀華街3號百樂中心8樓全層   +852-21677188,¥307,特色: 法式洋葱汤   法式烧鸡   冰凉青柠杯
La Mer Restaurant & Lounge,标签:法国菜   西餐,地址:尖沙咀金馬倫道48號中國保險大廈1樓AB室   +852-23826688,¥374,特色: 流心奶黄包   睇住流奶   吉川奶子
饮茶(中环店),标签:粤菜   中餐,地址:中环干諾道中88號南豐大廈2樓1-2號舖   +852-37088081,¥150,特色: 重慶麻辣火鍋   自家出品的芝麻油   毛肚
涨格重庆麻辣老火锅,标签:火锅,地址:厚福街12-12A号蓝马商业大厦1楼   +852-37052797,¥413,特色: 哥招牌炒饭   燕窝酿鸡翼   豉汁蒸龙趸腩
名人坊高级粤菜,标签:粤菜   中餐 米其林二星,地址:中环九如坊3号中环兰桂坊酒店1楼   +852-36500066,¥526,特色: 本地大刀手切鮮牛肉   花胶汤底   十下三宝滑
十下,标签:火锅,地址:铜锣湾登龙街28号永光中心2楼   +852-35204111,¥289,特色: 麻辣香锅   紅糖糍粑   霸王辣子鸡
十二味麻辣小当家(铜锣湾店),标签:中餐   川菜,地址:香港铜锣湾谢斐道379-389号6-7号地铺   +852-67684643,¥143,特色: 雞中翅   蘿蔔   车仔面三款配料加面
永年士多(元朗店),标签:小吃快餐,地址:元朗教育路88号宝城洋楼地铺2-4号   +852-24773816,¥41,特色: 杨枝甘露   芒果班戟   榴莲班戟
满记甜品(西贡总店) 分店,标签:面包甜点   甜品,"地址:西贡普通道10号A,B,C地下   27924991",¥45,特色: 街坊碗仔翅   街坊小食拼盤   波士顿龙虾芝士龙虾汁意大利饭
街坊Cafe,标签:西餐,地址:旺角通菜街1號威達商業大廈地下1E-1F號   +852-90613820,¥133,特色: 流沙包   招牌吊烧鸡   蛋散
凤城酒家(礼顿道店) 分店,标签:粤菜   中餐,地址:銅鑼灣禮頓道30號地下   +852-28818687,¥174,特色: 鱼米之香   桂花糕   冰烧肉
龙皇酒家(开源道店) 分店,标签:粤菜   中餐,地址:观塘开源道64号源成中心2楼   29550668,¥214,特色: 提拉米苏   意式奶冻   忌廉龍蝦汁車厘茄露筍大蝦寛面
Y Pasta,标签:咖啡厅,地址:骆克道459号the L.square 14楼   53011818,¥172,特色: 匙柄
616麥子(尖沙咀店),标签:火锅,地址:尖沙咀赫德道4號The Hart 1樓   +852-90374146,¥179,特色: 西冷牛排   午市套餐   肉眼牛扒餐
花园餐厅(山东街店) 分店,标签:牛排,地址:旺角山东街38号2楼   27811831,¥101,特色: 杨枝甘露   榴莲班戟   椰汁西米露凉粉
满记甜品(希慎广场店) 分店,标签:面包甜点   甜品,地址:铜锣湾希慎广场3楼317-319号铺   +852-35801697,¥89,特色: 乐园三宝饭套餐   葱油海鲜汤面套餐   鲜榨西瓜汁
笑匠欢宴坊,标签:粤菜   中餐,地址:香港大屿山香港迪士尼乐园幻想世界   35503388,¥70,特色: 披萨   自製義大利麵   Risotto
Al Molo Ristorante Italiano,标签:西餐,地址:香港尖沙咀广东道17号海港城海运大厦G63   +852-27307900,¥307,特色: 牛腩心   匙柄   牛金花趾
616牛肉火鍋專門店(西環店),标签:火锅,地址:西環皇后大道西384-386號三多大樓地下A號舖   +852-90349794,¥176,特色: 香草牛油廣島蠔   烧汁一口牛   香葱薄切牛舌
金金日式燒肉店,标签:日本料理,地址:铜锣湾怡和街2-6号英光大厦3楼全层   +852-26598318,¥218,特色: 牛杂   鱿鱼   牛百叶
聚味館砂鍋麻辣燙,标签:中餐   川菜,地址:西环皇后大道西602号地铺   +852-52021626,-,特色: 睇住流奶   明太子肠粉   流口水鸡
饮茶(铜锣湾),标签:中餐,地址:铜锣湾罗素街8号英皇鐘錶珠宝中心2楼   +852-23231288,¥176,特色: 黄金炸薯条   北海道帆立貝意大利飯   双重芝士脆薄饼
Villa Villa Cafe & Bar,标签:西餐   甜品,地址:北角锦屏街后街东发大厦A座25号地铺   +852-27779033,¥109,特色: 龙虾牛扒   黑椒汁   罗宋汤
花园餐厅(英皇道店) 分店,标签:牛排,地址:北角英皇道275号南天大厦1楼   25789690,¥112,特色: 石烧豚骨鱼介沾面   豚骨鱼介味玉沾面   辛辣野菜豚肉沾面
风云丸,标签:日本料理,地址:轩尼诗道314-324号WSquare地下B铺   +852-31881472,¥102,特色: 焰烧豚肉玉拉面   鸡叉烧味玉鸡白汤拉面   羽根烧饺子
霸吗拉面(中环店) 分店,标签:日本料理,地址:德己立街22号地下   ,¥86,特色: 牛蹄筋   牛朴肉   牛滑
616牛肉火鍋專門店(大圍店),标签:火锅,地址:大圍積富街33號積康樓地下C&D鋪   37092128,¥113,特色: 三文鱼刺身   带子刺身   烧大虾
神戶屋日韓放題,标签:日本料理,地址:旺角西洋菜南街1N號兆萬中心8樓   +852-27701000,¥211,特色: 菠蘿咕嚕鱼   扬州炒饭   虾仁炒饭
河景餐厅,标签:粤菜   中餐,地址:香港大屿山香港迪士尼乐园探险世界   35503388,¥113,特色: 火焰龍蝦湯底   醉胡炉四格锅   火焰龍蝦海鮮鍋
胡爐(尖沙咀店),标签:火锅,地址:尖沙咀，厚福街H8，16樓   37021282,¥310,特色: 滷水拼盤   方魚肉碎蠔仔粥   香煎蚝仔烙
十里潮香,标签:中餐,地址:銅鑼灣記利佐治街1號金百利廣場5樓R2號舖   +852-25900368,¥173,特色: 可爱的雪糕   史迪仔雪芭   米妮雪糕
大街市集,标签:小吃快餐,地址:香港大屿山香港迪士尼乐园美国小镇大街内   35503388,¥48,特色: 杨枝甘露   榴莲班戟   芒果班戟
满记甜品(新城市广场店) 分店,标签:面包甜点   甜品,地址:沙田新城市广场一期7楼704A号铺   +852-26026366,¥41,特色: 盐烧厚切牛舌   黄金炸鱼皮   蒜蓉烧15cm虎虾
肚餓了串燒烤焗專門店,标签:烤肉,地址:尖沙咀亚士厘道17~19号6F   +852-24680438,¥201,特色: 牛骨清汤
616牛肉火鍋專門店(大埔店),标签:火锅,地址:翠怡街3號翠怡花園地下18號鋪   35656878,¥173,特色: 封門肉   匙柄   牛朴肉
616十二味(銅鑼灣店),标签:火锅,地址:銅鑼灣謝斐道391-407號新時代中心地下   +852-61582345,¥170,特色: 拿铁   摩卡   咖啡
太平洋咖啡(凌宵阁店) 分店,标签:咖啡厅,地址:山顶路128号凌宵阁地下G10铺   28496608,¥43,特色: 杨枝甘露   榴莲班戟   榴梿忘返
满记甜品(朗豪坊店) 分店,标签:面包甜点   甜品,地址:旺角朗豪坊4楼409号铺   21916618,¥35,特色: 厚烧牛舌   三川雜錦魚生（並）   鸡丸野菜豆腐锅
迪士尼美心Plaza,标签:东南亚菜,地址:大屿山景区迪士尼乐园内   +852-21625010,-,特色: 任食火锅冬阴功海鲜汤   任食火锅椰香鸡汤   牛肩肉
三川居酒屋,标签:日本料理,地址:香港軒尼詩道499號永光商業大廈地庫   ,¥207,特色: 招牌麻辣鸡煲   美国安格斯肥牛   黑毛猪片
泰边炉,标签:火锅,地址:旺角弥敦道628号琼华中心9楼   +852-23678876,¥201,特色: 鼓汁蒸凤爪   馬拉糕   虾饺皇
火水炉冰室火锅,标签:火锅,地址:香港九龙旺角烟厂街33号朗廷轩1楼   +852-26631087,¥223,特色: 名板奇夏威夷豆塔   江记华隆原味猪肉纸   椰枣夏威夷豆
凤城酒家(上环店) 分店,标签:粤菜   中餐,地址:干诺道西21-24号海景商业大厦地下   +852-28158689,¥111,特色: 棋哥烧鹅   烧鹅捞粗   鹅油捞面
壹號手信,标签:小吃快餐,地址:於尖沙咀彌敦道54-64號美麗都大廈1樓67號舖   +852-37912861,¥259,特色: 牛骨清湯底   菊花桂圓露   牛駝峰
棋哥烧鹅 X 炯记餐室,标签:茶餐厅   粤菜,地址:铜锣湾谢斐道483-499号新城大厦地下G及H号舖   +852-34605048,¥73,特色: 心太軟配雲尼拿雪糕   煎安格斯肉眼朳   黑松露薯条
